iter	Logloss
0	0.6780339479
1	0.662961781
2	0.6475673318
3	0.6322129965
4	0.618642211
5	0.6049522758
6	0.5912044048
7	0.5778701305
8	0.5648056865
9	0.5523936749
10	0.5391972661
11	0.5271786451
12	0.5153483152
13	0.503252387
14	0.4910263419
15	0.4793967605
16	0.4687093496
17	0.458234489
18	0.4469946921
19	0.4372895956
20	0.4276673794
21	0.4190960526
22	0.410235405
23	0.4008863568
24	0.3918420672
25	0.3833124936
26	0.3753244281
27	0.3677054942
28	0.360191226
29	0.3528621495
30	0.3455679417
31	0.338773787
32	0.331831187
33	0.32519719
34	0.3186695278
35	0.3125702143
36	0.3064826131
37	0.3011749387
38	0.2952045202
39	0.290358603
40	0.2851616144
41	0.279976368
42	0.2744103372
43	0.2696604729
44	0.2647758722
45	0.2606994212
46	0.2560317814
47	0.2522071004
48	0.2480199635
49	0.2436810434
50	0.2396539599
51	0.2355217189
52	0.231329903
53	0.2280844748
54	0.224475652
55	0.2207483947
56	0.2169004977
57	0.2133677751
58	0.2102463394
59	0.2067762613
60	0.2031899095
61	0.1995726526
62	0.196966216
63	0.1945208609
64	0.1915428042
65	0.1889064312
66	0.1863176823
67	0.1836555302
68	0.1806921661
69	0.178175211
70	0.1758756936
71	0.1736449301
72	0.1715179533
73	0.1692025512
74	0.1673046947
75	0.1649314016
76	0.1630457044
77	0.1611977816
78	0.1592873484
79	0.1573942453
80	0.15545322
81	0.1536469758
82	0.1516386867
83	0.14986296
84	0.1479294598
85	0.1461108625
86	0.1444592476
87	0.1429715455
88	0.1418292224
89	0.1402121782
90	0.1389200538
91	0.1375641823
92	0.1362747699
93	0.1347342879
94	0.1332036853
95	0.1320304871
96	0.1306805909
97	0.1294188052
98	0.1280647814
99	0.126719594
100	0.1253629923
101	0.1241026521
102	0.1230411902
103	0.1218499243
104	0.1207090616
105	0.1196801215
106	0.1185937822
107	0.1174814999
108	0.1163081825
109	0.1153385341
110	0.114380233
111	0.1136854067
112	0.1129208058
113	0.1118295267
114	0.1111384332
115	0.1102057993
116	0.1094723791
117	0.1086762547
118	0.1077843234
119	0.1068591774
120	0.1060352921
121	0.1051088274
122	0.1043407619
123	0.1034637913
124	0.1027246118
125	0.1021191031
126	0.101361841
127	0.1007845998
128	0.09999544919
129	0.09935611486
130	0.09848128259
131	0.09799034894
132	0.0973790437
133	0.0968818292
134	0.09625468403
135	0.09568076581
136	0.09497535229
137	0.09462700039
138	0.09397589415
139	0.09355390817
140	0.09302285314
141	0.09248791635
142	0.09199795127
143	0.09141920507
144	0.090863958
145	0.09037071466
146	0.08981069177
147	0.08920970559
148	0.08856478333
149	0.08802454174
150	0.08738435805
151	0.08699263632
152	0.08630694449
153	0.08597958833
154	0.08545106649
155	0.08488953114
156	0.08440680057
157	0.08391474187
158	0.08347633481
159	0.08307942748
160	0.08264137805
161	0.08225812763
162	0.0820164755
163	0.0815346539
164	0.08107697219
165	0.08076428622
166	0.08024898171
167	0.07997693866
168	0.07967570424
169	0.07938040793
170	0.07896566391
171	0.07861050963
172	0.07831262052
173	0.07790114731
174	0.07750584185
175	0.07709912956
176	0.07662673295
177	0.07630813122
178	0.07596696913
179	0.07560236752
180	0.07529110461
181	0.0750502497
182	0.07468857616
183	0.07440246642
184	0.07412714511
185	0.07388328016
186	0.0735425055
187	0.07313966751
188	0.07277415693
189	0.0724054873
190	0.07211650908
191	0.07182305306
192	0.07156562805
193	0.07124743611
194	0.07105564326
195	0.07083076239
196	0.07063420117
197	0.07030571252
198	0.07004090399
199	0.06977017969
200	0.06962490082
201	0.06937459856
202	0.06922087818
203	0.06888319552
204	0.06866146624
205	0.06831845641
206	0.06800857186
207	0.0676356554
208	0.06726394594
209	0.06699177623
210	0.06667350233
211	0.06640087068
212	0.06616354734
213	0.06590891629
214	0.06572531909
215	0.06542640924
216	0.06519261003
217	0.06496480107
218	0.06481152028
219	0.06463100761
220	0.06450090557
